size,time,connectivity,t_bqm,t_sim,t_quant,t_one_start,t_precedence,t_share_machine,t_remove_absurd_times,t_stitcher,t_edit_bqm,tabu_sol,sim_sol,quant_sol,num_var,num_var_jobs,num_var_aux,qubits,max_chain,qpu_sampling_time,qpu_anneal_time_per_sample,qpu_readout_time_per_sample,qpu_access_time,qpu_access_overhead_time,qpu_programming_time,qpu_delay_time_per_sample,post_processing_overhead_time,total_post_processing_time,problem_id
2,1,0.3188405797101449,0.3630688190460205,0.4506409168243408,0.13471150398254395,0.00033545494079589844,0.0012576580047607422,0.000751495361328125,0.00011086463928222656,0.3605082035064697,3.838539123535156e-05,,4.730435705369018e-07,0.07407456682772207,24,20,4,37,2,95020,20,54,112097,12289,17077,21,5845,10270,ee77c9e3-cea7-4a36-a171-69fb79ce0120
3,1,0.15932914046121593,0.6774184703826904,1.0172405242919922,0.7536108493804932,0.0009856224060058594,0.005676746368408203,0.004480600357055664,0.0005548000335693359,0.6654975414276123,7.62939453125e-05,,0.031251675361886555,0.5625016162315291,54,45,9,127,4,103940,20,63,121006,12281,17066,21,352,2383,4917f83a-627f-4d38-9b90-66b7c0ae8c51
4,1,0.09649122807017543,1.3206419944763184,1.8139402866363525,1.7118682861328125,0.0018215179443359375,0.011927127838134766,0.011751174926757812,0.0015151500701904297,1.2932641506195068,8.559226989746094e-05,,0.03200366608450622,6.576004198260122,96,80,16,373,9,139420,20,98,156448,18810,17028,21,304,6421,44b0e7b3-41e1-4305-bf52-19e5394b0f62
5,1,0.06487695749440715,2.501598834991455,2.9432735443115234,5.010668039321899,0.004196882247924805,0.02542424201965332,0.027352094650268555,0.0037734508514404297,2.4402246475219727,0.00012183189392089844,,0.12037689442831834,12.685191827165397,150,125,25,578,9,111420,20,70,128419,20357,16999,21,318,6308,c912bf87-ec40-4671-8f76-591050f8b22b
6,1,0.046511627906976744,4.010716438293457,4.229324817657471,8.361532926559448,0.009846687316894531,0.05817747116088867,0.14911556243896484,0.008922815322875977,3.7836554050445557,0.0001652240753173828,,0.13995119125559086,22.653073425067532,216,180,36,1001,13,146100,20,105,163051,15776,16951,21,139,14820,0bee7622-06f5-48c1-b4a5-96528a6a86c2
7,1,0.03494230456687795,5.457661151885986,5.914400577545166,11.274600505828857,0.0239865779876709,0.20171308517456055,0.09306955337524414,0.014428138732910156,5.122791290283203,0.0002143383026123047,,0.32813881683705404,48.750018566985545,294,245,49,1971,18,161860,20,121,178653,25058,16793,21,289,16838,4665dfc9-aaca-46c4-b560-9e25d86188cd
8,1,0.027197563098346388,7.773054599761963,7.494323015213013,26.36848211288452,0.06140899658203125,0.13735270500183105,0.1580500602722168,0.025183439254760742,7.3883278369903564,0.00027680397033691406,,0.5706640938917644,74.02471642936854,384,320,64,2511,26,166900,20,126,183646,16692,16746,21,431,13784,3e7cbcac-e301-44f1-8545-9cdfb4eca7bb
9,1,0.021764032073310423,10.50407361984253,9.673427820205688,18.14054799079895,0.15587449073791504,0.18092012405395508,0.430835485458374,0.040181636810302734,9.692227840423584,0.0003571510314941406,,1.2600248151552478,89.24203123961934,486,405,81,3100,20,164460,20,123,181101,23510,16641,21,312,27018,a15a1112-36b5-46e2-9557-7984c7be228f
10,1,0.017807456872565387,13.123114585876465,11.892505884170532,200.94112944602966,0.3859567642211914,0.2571747303009033,0.5484476089477539,0.06020522117614746,11.864866971969604,0.00044655799865722656,,3.2757643046588782,136.94219184595602,600,500,100,4193,31,169520,20,128,185941,17759,16421,21,450,21105,1260e351-0751-4b74-b8a0-bab670f216b8
11,1,0.0148380355276907,17.487606048583984,14.621813297271729,35.27604150772095,0.9580204486846924,0.5678040981292725,0.5319023132324219,0.32227206230163574,15.098414659500122,0.0005371570587158203,,5.195641311554482,140.86231836470586,726,605,121,4066,24,168600,20,128,185052,17257,16452,21,399,20922,7f6f7f13-b4ae-4a14-a965-4ea2b707daf7
